r;19,79 ;0,46 ;0,88 ;1,94 ;1,51 ;21,35 ;0,01 ;0,04 ;0,32 ;1,42 ;0,02 ;21,09 ;0,03 ;0,01 ;0,06 ;1,96 ;2,29 ;1,49 ;12,70 ;0,45 ;0,56 ;0,03 ;2,72 ;2,01 ;2,69 ;1,94 ;0,00 ;0,85 ;0,02 ;0,01 ;0,08 ;0,39 ;0,89 ;
s;6,48 ;0,00 ;1,54 ;11,00 ;0,34 ;10,43 ;0,00 ;0,02 ;1,66 ;1,00 ;0,28 ;13,65 ;0,02 ;0,00 ;0,09 ;0,50 ;2,35 ;0,16 ;6,47 ;0,04 ;5,53 ;0,29 ;0,10 ;12,53 ;19,83 ;2,78 ;0,01 ;1,00 ;0,04 ;0,00 ;0,04 ;0,01 ;1,81 ;
t;17,69 ;0,31 ;0,01 ;0,05 ;0,02 ;22,72 ;0,01 ;0,04 ;0,01 ;0,01 ;0,30 ;20,98 ;0,03 ;0,00 ;0,00 ;0,07 ;0,07 ;0,04 ;12,81 ;0,16 ;0,01 ;0,00 ;10,94 ;0,13 ;9,07 ;3,73 ;0,00 ;0,01 ;0,02 ;0,00 ;0,05 ;0,06 ;0,66 ;
u;7,11 ;0,01 ;3,04 ;5,44 ;4,16 ;2,93 ;0,00 ;0,02 ;1,87 ;4,15 ;0,08 ;6,31 ;0,05 ;0,04 ;0,10 ;8,05 ;5,06 ;7,74 ;2,88 ;0,03 ;3,53 ;0,02 ;16,10 ;8,06 ;10,05 ;0,13 ;0,00 ;0,54 ;0,01 ;0,18 ;0,04 ;1,48 ;0,80 ;
ù;0,76 ;0,00 ;0,76 ;0,76 ;0,76 ;0,76 ;0,00 ;0,00 ;1,53 ;0,00 ;0,76 ;1,53 ;0,00 ;0,00 ;0,00 ;2,29 ;9,92 ;9,92 ;0,00 ;0,00 ;0,76 ;0,00 ;9,92 ;1,53 ;9,16 ;0,00 ;0,00 ;1,53 ;0,76 ;0,00 ;0,00 ;0,00 ;46,56 ;
v;38,44 ;0,00 ;0,00 ;0,01 ;0,01 ;19,55 ;0,00 ;0,03 ;0,00 ;0,00 ;0,24 ;22,84 ;0,02 ;0,00 ;0,00 ;0,02 ;0,00 ;0,06 ;13,37 ;0,07 ;0,00 ;0,00 ;1,08 ;0,03 ;0,01 ;0,83 ;0,00 ;2,93 ;0,00 ;0,04 ;0,03 ;0,00 ;0,34 ;
w;25,50 ;0,07 ;0,67 ;0,52 ;0,45 ;18,20 ;0,00 ;0,07 ;0,22 ;0,22 ;3,73 ;16,85 ;0,00 ;0,00 ;0,89 ;2,68 ;0,45 ;3,65 ;10,37 ;0,00 ;0,07 ;0,15 ;1,79 ;2,46 ;0,45 ;1,42 ;0,00 ;0,07 ;0,52 ;0,00 ;1,42 ;0,00 ;7,08 ;
x;9,00 ;0,26 ;0,00 ;1,94 ;0,09 ;13,33 ;0,09 ;0,09 ;0,18 ;0,00 ;3,27 ;17,48 ;0,00 ;0,00 ;0,00 ;0,71 ;0,44 ;0,18 ;5,38 ;0,09 ;2,12 ;0,18 ;0,18 ;0,26 ;8,30 ;0,79 ;0,00 ;3,53 ;0,53 ;6,09 ;0,62 ;0,00 ;24,89 ;
y;9,63 ;0,10 ;1,76 ;2,06 ;2,21 ;5,72 ;0,05 ;0,10 ;0,25 ;0,65 ;0,30 ;0,60 ;0,00 ;0,05 ;0,30 ;3,96 ;3,11 ;4,21 ;3,96 ;0,00 ;1,81 ;0,05 ;2,26 ;5,77 ;1,65 ;1,25 ;0,05 ;0,40 ;0,65 ;0,20 ;0,60 ;0,05 ;46,24 ;
z;26,65 ;0,01 ;0,03 ;0,00 ;0,04 ;8,36 ;0,00 ;0,00 ;0,00 ;0,01 ;0,02 ;25,29 ;0,01 ;0,01 ;0,04 ;0,04 ;0,01 ;0,04 ;4,95 ;0,31 ;0,01 ;0,01 ;0,01 ;0,02 ;0,02 ;1,10 ;0,00 ;0,00 ;0,00 ;0,00 ;0,01 ;32,50 ;0,47 ;
INI;8,50 ;0,00 ;2,59 ;7,48 ;4,58 ;2,84 ;0,00 ;0,02 ;3,23 ;2,90 ;0,37 ;8,99 ;0,02 ;0,17 ;0,21 ;2,60 ;5,37 ;1,69 ;2,45 ;0,00 ;8,79 ;0,36 ;9,84 ;17,47 ;5,75 ;0,81 ;0,00 ;2,41 ;0,16 ;0,05 ;0,04 ;0,31 ;0,00 ;
